port,dependency
aalib,ncurses
adwaita-icon-theme,gtk3
adwaita-icon-theme,librsvg
at-spi2-atk,glib2
at-spi2-atk,atk
at-spi2-atk,at-spi2-core
at-spi2-atk,dbus
at-spi2-atk,libxml2
at-spi2-core,glib2
at-spi2-core,dbus
at-spi2-core,gobject-introspection
at-spi2-core,xorg-libX11
at-spi2-core,xorg-libXi
at-spi2-core,xorg-libXtst
at-spi2-core,xorg-libice
at-spi2-core,xorg-libsm
atk,glib2
atk,gettext
atk,gobject-introspection
atk,libiconv
autoconf,gettext
beanshell,kaffe
bison,gettext
bison,bison-runtime
bison,m4
boost,zlib
boost,expat
boost,bzip2
boost,libiconv
boost,icu
boost,python37
cairo,libpixman
cairo,glib2
cairo,fontconfig
cairo,freetype
cairo,libpng
cairo,zlib
cairo,expat
cairo,xrender
cairo,xorg-libXext
cairo,xorg-xcb-util
cargo,openssl
cargo,curl
cargo,libssh2
cargo,rust
cctools,llvm-9.0
chromaprint,ffmpeg
chromaprint,fftw-3
cmake,libcxx
cmake,curl
cmake,expat
cmake,zlib
cmake,bzip2
cmake,libarchive
cmake,ncurses
cmake,libuv
coreutils,gettext
coreutils,gmp
coreutils,libiconv
curl,libidn2
curl,libpsl
curl,zlib
curl,openssl
curl,curl-ca-bundle
dblatex,texlive-latex-extra
dblatex,texlive-latex-recommended
dblatex,texlive-math-science
dblatex,dejavu-fonts
dblatex,ImageMagick
dblatex,docbook-xml
dblatex,docbook-xsl-nons
dblatex,python27
dbus,expat
dejavu-fonts,fontconfig
djvulibre,libiconv
djvulibre,jpeg
djvulibre,tiff
docbook-xml,xmlcatmgr
docbook-xml,docbook-xml-4.1.2
docbook-xml,docbook-xml-4.2
docbook-xml,docbook-xml-4.3
docbook-xml,docbook-xml-4.4
docbook-xml,docbook-xml-4.5
docbook-xml,docbook-xml-5.0
docbook-xml-4.1.2,xmlcatmgr
docbook-xml-4.1.2,docbook-xml-4.2
docbook-xml-4.2,xmlcatmgr
docbook-xml-4.3,xmlcatmgr
docbook-xml-4.4,xmlcatmgr
docbook-xml-4.5,xmlcatmgr
docbook-xml-5.0,xmlcatmgr
docbook-xsl-nons,xmlcatmgr
enchant,glib2
enchant2,glib2
ffmpeg,lame
ffmpeg,libiconv
ffmpeg,libvorbis
ffmpeg,libopus
ffmpeg,libogg
ffmpeg,librsvg
ffmpeg,libtheora
ffmpeg,libmodplug
ffmpeg,libass
ffmpeg,libbluray
ffmpeg,libvpx
ffmpeg,gnutls
ffmpeg,openjpeg
ffmpeg,fontconfig
ffmpeg,freetype
ffmpeg,fribidi
ffmpeg,speex
ffmpeg,soxr
ffmpeg,bzip2
ffmpeg,xz
ffmpeg,zlib
ffmpeg,libsdl2
ffmpeg,x265
ffmpeg,XviD
ffmpeg,x264
fftw-3-single,fftw-3
flac,libiconv
flac,libogg
flex,gettext
flex,m4
