port,dependency
aalib,ncurses
adwaita-icon-theme,gtk3
adwaita-icon-theme,librsvg
at-spi2-atk,glib2
at-spi2-atk,atk
at-spi2-atk,at-spi2-core
at-spi2-atk,dbus
at-spi2-atk,libxml2
at-spi2-core,glib2
at-spi2-core,dbus
at-spi2-core,gobject-introspection
at-spi2-core,xorg-libX11
at-spi2-core,xorg-libXi
at-spi2-core,xorg-libXtst
atk,glib2
atk,gettext-runtime
atk,gobject-introspection
atk,libiconv
beanshell,kaffe
bison,gettext-runtime
bison,libiconv
bison,libtextstyle
bison,m4
bison,bison-runtime
boost176,bzip2
boost176,expat
boost176,icu
boost176,libiconv
boost176,lzma
boost176,zlib
boost176,zstd
boost176,python311
cairo,libpixman
cairo,glib2
cairo,fontconfig
cairo,freetype
cairo,libpng
cairo,zlib
cairo,expat
cairo,xrender
cairo,xorg-libXext
cairo,xorg-xcb-util
cargo,curl
cargo,libgit2
cargo,libssh2
cargo,zlib
cargo,openssl3
cargo,rust
chromaprint,ffmpeg
chromaprint,fftw-3
cmake,libcxx
cmake,curl
cmake,expat
cmake,zlib
cmake,bzip2
cmake,libarchive
cmake,ncurses
cmake,libuv
coreutils,gettext-runtime
coreutils,gmp
coreutils,libiconv
curl,brotli
curl,libidn2
curl,libpsl
curl,zlib
curl,zstd
curl,nghttp2
curl,openssl
curl,curl-ca-bundle
dblatex,texlive-latex-extra
dblatex,texlive-latex-recommended
dblatex,texlive-math-science
dblatex,dejavu-fonts
dblatex,ImageMagick
dblatex,docbook-xml
dblatex,docbook-xsl-nons
dblatex,docbook-xml-5.0
dblatex,python310
dbus,expat
dejavu-fonts,fontconfig
djvulibre,libiconv
djvulibre,libjpeg-turbo
djvulibre,tiff
docbook-xml,xmlcatmgr
docbook-xml,docbook-xml-4.1.2
docbook-xml,docbook-xml-4.2
docbook-xml,docbook-xml-4.3
docbook-xml,docbook-xml-4.4
docbook-xml,docbook-xml-4.5
docbook-xml,docbook-xml-5.0
docbook-xml-4.1.2,xmlcatmgr
docbook-xml-4.1.2,docbook-xml-4.2
docbook-xml-4.2,xmlcatmgr
docbook-xml-4.3,xmlcatmgr
docbook-xml-4.4,xmlcatmgr
docbook-xml-4.5,xmlcatmgr
docbook-xml-5.0,xmlcatmgr
docbook-xsl-nons,xmlcatmgr
docbook-xsl-ns,xmlcatmgr
enchant,glib2
enchant2,glib2
ffmpeg,bzip2
ffmpeg,dav1d
ffmpeg,fontconfig
ffmpeg,freetype
ffmpeg,fribidi
ffmpeg,gnutls
